,ts,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt
1636,29.96,29.64497695,29.61201666,29.96626375,29.7468708,29.56825466,30.75593839,29.7300871,30.36655652,29.78384412,30.09007308,30.62470361,30.57104653,30.52964464,31.33185055,30.86393608,30.0808014,30.31378623,30.22635447,31.38976931,28.40343344,30.43280883,30.66057497,30.52252304,30.69960825,29.756266,30.17,30.57743044,30.19104715,30.98513138,27.19880898
1637,29.88,30.17583062,30.0964532,30.10704291,30.31317318,29.91621958,29.95402893,30.3297431,30.47523132,30.28606203,30.45494788,29.87264676,29.93909349,29.80504232,29.91744317,30.19910572,29.98705253,29.59530133,29.69970025,30.72000283,28.01226904,30.27803983,30.24822244,30.05766676,29.96127905,29.34084845,29.96,30.19563693,30.09957685,30.26062766,27.19880898
1638,31.02,30.27550496,30.25049314,30.22121712,30.38875721,30.13884799,30.20278885,30.42061367,30.44967948,30.45761595,30.45494788,30.57477807,30.63017809,30.48882614,30.44269492,30.77200443,29.91827043,30.31206329,30.58663153,30.4909847,33.23077357,29.99754114,30.13379685,29.90168827,30.30348458,29.07465875,29.88,29.97029077,29.62886723,29.97981174,27.19880898
1639,29.99,29.86834169,29.83319967,29.88614058,30.02008154,29.70859134,30.43128059,29.97878467,29.87189946,30.03491285,29.92980979,30.48696731,30.50061368,30.3519024,30.22844287,30.63296875,31.10589682,30.17328963,30.2948612,30.78230863,33.06296217,30.55950812,30.68643767,30.63106734,30.47935665,29.61571757,31.02,31.00414164,29.34161837,29.7663746,28.53176988
1640,29.77,30.19806472,30.17977733,30.37774908,30.33480385,30.0869064,29.93333983,30.37099845,30.26350743,30.31340732,30.3517386,30.89889493,31.03185352,30.88969291,30.91039665,31.27197004,29.90273089,30.74102299,30.90621138,30.79721329,33.41413079,30.0378062,30.23727192,30.10976841,30.2786051,29.16437848,29.99,30.36022897,29.06716175,30.43719885,27.19880898
1641,31.49,30.70999062,30.6585413,30.81003179,30.85987595,30.51567819,30.4281787,30.8971052,30.52758008,30.84191871,30.58863635,30.50370062,30.67491035,30.55341566,30.6133773,30.82027696,29.75134276,30.33551134,30.53305384,30.47268318,32.479783,29.96369188,30.00818242,29.84410719,30.1018416,28.97323639,29.77,30.0069497,29.24523266,30.06471386,27.19880898
1642,30.04,30.31034481,30.26615557,30.39431976,30.46496863,30.12509131,30.88729537,30.47323466,30.21128388,30.44732053,29.92980979,31.43349024,31.49141629,31.37515382,31.06502108,31.57086004,31.58245078,31.50439782,30.80048914,30.95358792,33.74069899,30.98777678,31.06205055,31.10246663,31.21824601,29.99431627,31.49,31.52651395,29.60017602,31.23586134,28.53176988
1643,30.34,30.31214261,30.30150608,30.5976165,30.43435317,30.21381326,30.27054143,30.39609257,30.46330662,30.44746033,30.29259216,30.5194325,30.68922791,30.55670666,30.34964784,30.93593097,30.01746789,30.38311521,30.46009002,29.99163939,32.93463509,30.0560105,30.34623656,30.18370175,30.41991727,29.18048729,30.04,30.42509099,29.45088033,30.46483824,27.19880898
1644,30.53,30.49966622,30.43619816,30.61794938,30.65456296,30.25696737,30.55124345,30.66174437,30.66886244,30.62626499,30.58863635,30.62918303,30.76936982,30.65178912,30.68352722,30.93934627,30.3844634,30.73507597,31.38195332,30.49529016,28.49094154,30.41405787,30.41850439,30.3115039,30.61055308,29.37792283,30.34,30.5207756,29.21423873,30.71657191,27.19880898
1645,30.37,29.9291843,29.87770835,29.97998502,30.07210179,29.71083491,30.62505898,30.12693985,30.08740398,30.0748603,29.92980979,30.82340303,30.92270816,30.82552426,30.37755513,31.11525404,30.53950005,30.8637962,30.53444288,30.24225068,29.01350354,30.50411955,30.595327,30.46973807,30.70485756,29.47824893,30.53,30.74338331,29.51343138,30.75174356,27.19880898
